Wikipedia ID,Movie Name,Year,Character Name,Count,Full name,Normalized_name,Influence
666923,the lost world: jurassic park,1997,Owen,6,Nick Van Owen,OWEN,3865.2
899442,charade,1963,Brian,2,Brian Cruikshank,BRIAN,3864.833333333332
113460,platoon,1986,Taylor,18,Chris Taylor,TAYLOR,3857.166666666667
1252914,indiana jones and the kingdom of the crystal skull,2008,Henry,17,Henry Jones III,HENRY,3775.9333333333343
1252914,indiana jones and the kingdom of the crystal skull,2008,Henry,10,"Henry ""Mutt"" Williams",HENRY,3775.9333333333343
445066,robocop,1987,Alex,6,Alex Murphy,ALEX,3639.9
676909,the terminal,2004,Amelia,3,Amelia Warren,AMELIA,3591.133333333333
4560,braveheart,1995,Isabella,6,Isabella,ISABELLA,3563.166666666667
1145761,where eagles dare,1968,Jonathan,8,Jonathan Smith,JONATHAN,3555.8999999999996
133574,unforgiven,1992,Logan,7,Ned Logan,LOGAN,3517.7
237303,bruce almighty,2003,Grace,5,Grace Connelly,GRACE,3503.8999999999996
487300,fanny and alexander,1982,Emilie,5,Emilie,EMILIE,3472.8
3213691,there will be blood,2007,Henry,3,Henry,HENRY,3397.833333333334
88326,ferris bueller's day off,1986,Cameron,6,Cameron Frye,CAMERON,3354.2
210151,"lock, stock and two smoking barrels",1998,Harry,9,"Harry ""The Hatchet"" Lonsdale's",HARRY,3336.266666666667
5842075,fear and loathing in las vegas,1998,Lucy,5,Lucy,LUCY,3314.9
654530,legends of the fall,1994,Tristan,16,Tristan,TRISTAN,3297.966666666667
30000,taxi driver,1976,Travis,16,Travis Bickle,TRAVIS,3293.3999999999996
473273,jurassic park iii,2001,Ellie,3,Ellie Sattler,ELLIE,3286.666666666667
3600824,a time to kill,1996,Hailey,11,Carl Lee Hailey,HAILEY,3286.5
3600824,a time to kill,1996,Hailey,3,Tonya Hailey,HAILEY,3286.5
443972,hook,1991,Jack,5,Jack,JACK,3281.233333333333
30006,the silence of the lambs,1991,Jack,3,Jack Crawford,JACK,3281.233333333333
924771,the naked gun 2½: the smell of fear,1991,Quentin,4,Quentin Hapsburg,QUENTIN,3269.1
1627058,how to steal a million,1966,Nicole,7,Nicole Bonnet,NICOLE,3263.266666666667
407288,2 fast 2 furious,2003,Carter,4,Carter Verone,CARTER,3235.966666666667
431014,big fish,2003,Ashton,2,Ashton,ASHTON,3228.433333333333
1277918,charlie and the chocolate factory,2005,Charlie,14,Charlie Bucket,CHARLIE,3171.7
77744,wayne's world,1992,Noah,3,Noah Vanderhoff,NOAH,3097.233333333333
685977,sixteen candles,1984,Ryan,7,Jake Ryan,RYAN,3092.7999999999993
525314,shrek 2,2004,Lillian,2,Queen Lillian,LILLIAN,3073.6
68374,true lies,1994,Harry,25,Harry Tasker,HARRY,3034.3333333333335
99123,speed,1994,Harry,12,Harry hostage,HARRY,3034.3333333333335
30327,the terminator,1984,Sarah,12,Sarah Connor,SARAH,3031.5999999999985
11077335,doctor zhivago,1965,Tonya,2,Tonya Gromeko,TONYA,3025.466666666667
97758,doctor zhivago,1965,Tonya,3,Tonya Komarovskaya,TONYA,3025.466666666667
394792,jackie brown,1997,Louis,8,Louis shot Melanie,LOUIS,2953.133333333333
716738,meet joe black,1998,William,19,"William ""Bill""",WILLIAM,2943.966666666667
84931,witness,1985,Daniel,3,Daniel Hochleitner,DANIEL,2917.300000000003
30582,the sixth sense,1999,Anna,3,Anna Crowe,ANNA,2890.2000000000007
